table_array,question,answer
"[['Player', 'HR', 'Date reached 500 HR', 'Team', 'Seasons played'], ['Barry Bonds', 762, 'April 17, 2001', 'San Francisco Giants', '1986–2007'], ['Hank Aaron', 755, 'July 14, 1968', 'Atlanta Braves', '1954–1976'], ['Babe Ruth', 714, 'August 11, 1929', 'New York Yankees', '1914–1935'], ['Willie Mays', 660, 'September 13, 1965', 'San Francisco Giants', '1951–1952,\\n1954–1973'], ['Alex Rodriguez', 654, 'August 4, 2007', 'New York Yankees', '1994–'], ['Ken Griffey, Jr.', 630, 'June 20, 2004', 'Cincinnati Reds', '1989–2010'], ['Jim Thome', 612, 'September 16, 2007', 'Chicago White Sox', '1991–2012'], ['Sammy Sosa', 609, 'April 4, 2003', 'Chicago Cubs', '1989–2005,\\n2007'], ['Frank Robinson', 586, 'September 13, 1971', 'Baltimore Orioles', '1956–1976'], ['Mark McGwire', 583, 'August 5, 1999', 'St. Louis Cardinals', '1986–2001'], ['Harmon Killebrew', 573, 'August 10, 1971', 'Minnesota Twins', '1954–1975'], ['Rafael Palmeiro', 569, 'May 11, 2003', 'Texas Rangers', '1986–2005'], ['Reggie Jackson', 563, 'September 17, 1984', 'California Angels', '1967–1987'], ['Manny Ramirez', 555, 'May 31, 2008', 'Boston Red Sox', '1993–2011'], ['Mike Schmidt', 548, 'April 18, 1987', 'Philadelphia Phillies', '1972–1989'], ['Mickey Mantle', 536, 'May 14, 1967', 'New York Yankees', '1951–1968'], ['Jimmie Foxx', 534, 'September 24, 1940', 'Boston Red Sox', '1925–1942,\\n1944–1945'], ['Ted Williams', 521, 'June 17, 1960', 'Boston Red Sox', '1939–1942,\\n1946–1960'], ['Willie McCovey', 521, 'June 30, 1978', 'San Francisco Giants', '1959–1980'], ['Frank Thomas', 521, 'June 28, 2007', 'Toronto Blue Jays', '1990–2008'], ['Ernie Banks', 512, 'May 12, 1970', 'Chicago Cubs', '1953–1971'], ['Eddie Mathews', 512, 'July 14, 1967', 'Houston Astros', '1952–1968'], ['Mel Ott', 511, 'August 1, 1945', 'New York Giants', '1926–1947'], ['Gary Sheffield', 509, 'April 17, 2009', 'New York Mets', '1988–2009'], ['Eddie Murray', 504, 'September 6, 1996', 'Baltimore Orioles', '1977–1997']]",which member of the 500 club has the least amount of home runs?,Eddie Murray
"[['Year', 'Miss Northern Ireland', 'Hometown', 'Placement at Miss World', 'Notes'], [2012, 'Tiffany Brien', 'Belfast', 'Top 30', 'Top 10 of Beach Fashion and 1st runner-up of Sports & Fitness at Miss World 2012'], [2011, 'Finola Guinnane', 'Drumbo', 'Non-Finalist', 'Top 20 of Beach Beauty and Top 77 of Beauty with a Purpose at Miss World 2011'], [2010, 'Lori Moore', 'Belfast', 'Top 25', 'Winner of Sports at Miss World 2010'], [2009, 'Cherie Gardiner', 'Bangor', 'Non-Finalist', nan], [2008, 'Judith Wilson', 'Enniskillen', 'Non-Finalist', 'Top 19 of Talent at Miss World 2008'], [2007, 'Melissa Patton', 'Belfast', 'Non-Finalist', nan], [2006, 'Catherine Jean Milligan', 'Newtownards', 'Top 17', 'Winner of Miss Talent at Miss World 2006'], [2005, 'Lucy Evangelista', 'Portglenone', 'Top 15', 'Later Miss United Kingdom 2005 and Miss Universe United Kingdom 2005 2nd runner-up'], [2004, 'Kirsty Anne Gabriel Stewart', 'Enniskillen', 'Non-Finalist', nan], [2003, 'Diana Sayers', 'Belfast', 'Non-Finalist', nan], [2002, 'Gayle Williamson', 'Lurgan', 'Non-Finalist', 'Later Miss United Kingdom 2002'], [2001, 'Angela McCarthy', 'Belfast', 'Non-Finalist', nan], [2000, 'Julie Lee-Ann Martin', 'Belfast', 'Non-Finalist', nan]]",how many miss northern ireland winners have made it to the top 30 placement at miss world since 2000?,4
"[['Date', 'Opponent', 'Result', 'Goal Scorers (Season Goals)', 'Goalie Saves', 'Attendance'], ['Sept. 28', 'Union', 'W, 5-0', 'Matthews (1)-PP, Keseley (1), Kranz (1), Sanders (1)-PP, Deluce (1)', 'Vetter, 5', '463'], ['Sept. 29', 'Union', 'W, 11-0', 'Duggan (1), Keseley (2)-PP, Sanders (2), Sanders (3), Knight (1), Morris (1)-PP, Deluce (2), Knight (2)-PP, Duggan (2), Nash (1), Keseley (3)', 'McCready, 14', '326'], ['Oct. 5', 'ROBERT MORRIS', 'W, 3-0', 'Lawler (1), Zaugg (1)-PP, Deluce (3)', 'Vetter, 11', '1,912'], ['Oct. 6', 'ROBERT MORRIS', 'W, 3-1', 'Windmeier (1)-PP, Lawler (2), Keseley (4)', 'Vetter, 13', '2,043'], ['Oct. 13', 'OHIO STATE* (10/10)', 'W, 4-0', 'Deluce (4)-PP, Nash (2), Giles (1), Hagen (1)', 'Vetter, 12', '1,434'], ['Oct. 14', 'OHIO STATE* (10/10)', 'T, 2-2', 'Zaugg (2)-PP, Deluce (5)-GT', 'Vetter, 17', '1,461'], ['Oct. 19', 'St. Cloud State*', 'L, 2-1', 'Sanders (4) St. Cloud, Minn.', 'Vetter, 17', '402'], ['Oct. 20', 'St. Cloud State*', 'W, 5-0', 'Deluce (6)-PP, Zaugg (3), Deluce (7), Zaugg (4), Deluce (8)-PP-HT', 'Vetter, 12', '287'], ['Oct. 26', 'MINNESOTA STATE*', 'W, 4-2', 'Zaugg (5), Giles (2)-PP, Matthews (2), Knight (3)', 'Vetter, 12', '2,137'], ['Oct. 27', 'MINNESOTA STATE*', 'W, 4-2', 'Zaugg (6)-PP, Sanders (5), Knight (4), Jakiel (1)', 'Vetter, 16', '1,538'], ['Nov. 2', 'MINNESOTA* (6/7)', 'W, 3-0', 'Sanders (6), Sanders (7), Keseley (5)', 'Vetter, 22', '1.389'], ['Nov. 3', 'MINNESOTA* (6/7)', 'L, 3-2', 'Duggan (3)-PP, Lawler (3)-PP', 'Vetter, 15', '2,404'], ['Nov. 17', 'New Hampshire (2/3)', 'L, 2-1', 'Knight (5)-PP', 'Vetter, 24', '1,196'], ['Nov. 18', 'New Hampshire (2/3)', 'L, 2-1', 'Sanders (8)', 'Vetter, 20', '1,226'], ['Nov. 23', 'BemIdji State*', 'W, 7-0', 'Zaugg (7), Matthews (3)-PP, Knight (6)-PP, Zaugg (8)-PP, Lawler (4), Nash (3), Duggan (4)', 'Vetter, 13', '121'], ['Nov. 24', 'BemIdji State*', 'T, 0-0', nan, 'McCready, 14', '125'], ['Nov. 30', 'MINNESOTA DULUTH* (3/3)', 'L, 3-1', 'Hanson (1) Kohl Center', 'Vetter, 19', '1,342'], ['Dec. 1', 'MINNESOTA DULUTH* (3/3)', 'L, 3-2 (OT)', 'Lawler (5)-PP, Duggan (5)-PP', 'Vetter, 22', '1,638'], ['Dec. 8', 'North Dakota*', 'W, 3-2', 'Knight (7), Giles (3), Lawler (6)', 'Vetter, 12', '425'], ['Dec. 9', 'North Dakota*', 'W, 4-0', 'Knight (8), Nash (4), Deluce (9), Lawler (7)', 'Vetter, 5', '221'], ['Jan. 4', 'MINNESOTA State*', 'W, 4-1', 'Kranz (2), Kranz (3), Sanders (9)-PP, Lawler (8)', 'Vetter, 17', '304'], ['Jan. 5', 'MINNESOTA State*', 'W, 3-1', 'Keseley (6), Lawler (9)-PP, Knight (9)', 'Vetter, 20', '225'], ['Jan. 18', 'OHIO State*', 'W, 3-2', 'Duggan (6), Zaugg (9), Duggan (7)-PP', 'Vetter, 25', '231'], ['Jan. 19', 'OHIO State*', 'W, 4-1', 'Zaugg (10)-PP, Knight (10), Keseley (7)-PP,', 'Vetter, 20', '514\\nDuggan (7)'], ['Jan. 25', 'ST. CLOUD STATE* (9/9)', 'W, 4-1', 'Sanders (10), Deluce (10), Zaugg (11), Nash (5)', 'Vetter, 22', '1,494'], ['Jan. 26', 'ST. CLOUD STATE* (9/9)', 'W, 4-0', 'Zaugg (12)-PP, Knight (11), Zaugg (13), Deluce (11)', 'Vetter, 18', '5,377'], ['Feb. 2', 'NORTH DAKOTA*', 'W, 6-1', 'Sanders (11), Knight (12)-PP, Knight (13)-PP,', 'Vetter, 16', '2,219\\nKnight (14)-PP-HT, Sanders (12), Keseley (8)'], ['Feb. 3', 'NORTH DAKOTA*', 'W, 5-2', 'Duggan (9)-PP, Duggan (10), Windmerier (2)-SH-EN', 'Vetter, 12', '1,776\\nDuggan (11)-HT, Knight (15)'], ['Feb. 8', 'MINNESOTA Duluth* (3/3)', 'W, 3-2', 'Sanders (13), Duggan (12), Hagen (2)', 'Vetter, 27', '904'], ['Feb. 9', 'MINNESOTA Duluth* (3/3)', 'L, 3-2', 'Duggan (13)-PP, Duggan (14)', 'Vetter, 27', '891'], ['Feb. 15', 'BEMIDJI STATE*', 'W, 4-0', 'Sanders (14), Keseley (9)-PP, Hagen (3), Zaugg (14)', 'Vetter, 11', '1,318'], ['Feb. 16', 'BEMIDJI STATE*', 'W, 3-0', 'Zaugg (15), Nordby (1), Duggan (15)', 'McCready, 12', '790'], ['Feb. 23', 'MINNESOTA* (4/4)', 'W, 5-1', 'Knight (16), Dronen (1), Zaugg (16), Duggan (16)-SH,', 'Vetter, 32', '2,823\\nDuggan (17)'], ['Feb. 24', 'MINNESOTA* (4/4)', 'T, 2-2', 'Matthews (4), Knight (17)-GT', 'Vetter, 22', '2,130']]",how many games did at least 1500 people attend?,11
"[['Model name', 'Length', 'Width', 'Height', 'Riders', 'Capacity', 'Description', 'Portable', 'Notes'], ['Skater', '21.5\xa0m (71\xa0ft)', '11.65\xa0m (38.2\xa0ft)', '10.69\xa0m (35.1\xa0ft)', '24', '600', 'Small halfpipe with inwards-facing seats.', 'Yes', nan], [""Disk'O"", '24.55\xa0m (80.5\xa0ft)', '9.68\xa0m (31.8\xa0ft)', '10\xa0m (33\xa0ft)', '24', '600', 'Small halfpipe with outwards-facing seats.', 'Yes', nan], [""Surf's Up"", '29\xa0m (95\xa0ft)', '11\xa0m (36\xa0ft)', '7.5\xa0m (25\xa0ft)', '20', '480', 'Small halfpipe with hill in middle. Guests stand on rectangular platform.', 'Yes', nan], [""Mega Disk'O"", '37.5\xa0m (123\xa0ft)', '10\xa0m (33\xa0ft)', '15.5\xa0m (51\xa0ft)', '24', '600', 'Large halfpipe with outwards-facing seats.', 'No', nan], [""Mega Disk'O"", '37.5\xa0m (123\xa0ft)', '10\xa0m (33\xa0ft)', '15.5\xa0m (51\xa0ft)', '40', '1000', 'Large halfpipe with outwards-facing seats.', 'No', nan], ['Skater Coaster', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Large halfpipe with hill in middle. Inwards-facing seats.', 'Unknown', nan], [""Disk'O Coaster"", '81.5\xa0m (267\xa0ft)', '11.3\xa0m (37\xa0ft)', '15.5\xa0m (51\xa0ft)', '24', '500', 'Large halfpipe with hill in middle. Outwards-facing seats.', 'No', nan], [""Disk'O Coaster"", '81.5\xa0m (267\xa0ft)', '11.3\xa0m (37\xa0ft)', '15.5\xa0m (51\xa0ft)', '40', '600', 'Large halfpipe with hill in middle. Outwards-facing seats.', 'No', nan]]",what is the next model listed after disk'o?,Surf's Up
"[['Date', 'Venue', 'Opponent', 'Result', 'Tournament', 'Scored'], ['10 February 2008', 'Craven Park', 'St. Helens', '24–22', 'Super League XIII', 1], ['24 March 2008', 'JJB Stadium', 'Wigan Warriors', '18–12', 'Super League XIII', 1], ['13 April 2008', 'Craven Park', 'Bradford Bulls', '20–18', 'Super League XIII', 1], ['21 June 2008', 'Craven Park', 'Wakefield Trinity Wildcats', '18–26', 'Super League XIII', 1], ['8 March 2009', 'Craven Park', 'Wakefield Trinity Wildcats', '31–18', 'Super League XIV', 1], ['15 March 2009', 'Craven Park', 'Crusaders', '48–18', 'Super League XIV', 3], ['3 May 2009', 'Murrayfield Stadium', 'Warrington Wolves', '28–36', 'Super League XIV', 1], ['20 June 2009', 'Brewery Field', 'Crusaders', '18–32', 'Super League XIV', 2], ['21 August 2009', 'The Willows', 'Salford City Reds', '10–14', 'Super League XIV', 1], ['5 September 2009', 'Craven Park', 'Warrington Wolves', '40–16', 'Super League XIV', 3], ['12 September 2009', 'Belle Vue', 'Wakefield Trinity Wildcats', '24–10', 'Super League XIV', 1], ['7 February 2010', 'Craven Park', 'Salford City Reds', '30–12', 'Super League XV', 1], ['16 May 2010', 'Craven Park', 'Crusaders', '54-10', 'Super League XV', 2], ['21 May 2010', 'Knowsley Road', 'St. Helens', '68-12', 'Super League XV', 1], ['20 June 2010', 'Craven Park', 'Harlequins RL', '42-6', 'Super League XV', 2], ['25 June 2010', 'Galpharm Stadium', 'Huddersfield Giants', '16-16', 'Super League XV', 1], ['4 July 2010', 'Belle Vue', 'Wakefield Trinity Wildcats', '14-46', 'Super League XV', 1], ['15 July 2010', 'KC Stadium', 'Hull', '20-16', 'Super League XV', 1], ['24 July 2010', 'Craven Park', 'Bradford Bulls', '49-24', 'Super League XV', 2], ['15 August 2010', 'The Willows', 'Salford City Reds', '18-44', 'Super League XV', 2], ['13 February 2011', 'Millennium Stadium', 'Hull', '22-34', 'Super League XV', 1], ['20 February 2011', 'Halliwell Jones Stadium', 'Warrington Wolves', '24-22', 'Super League', 2], ['7 March 2011', 'The Jungle', 'Castleford Tigers', '27-14', 'Super League', 1], ['25 June 2011', 'Twickenham Stoop', 'Harlequins RL', '0-34', 'Super League', 1]]",how many matches were in may 2010?,2
"[['Department', 'Total Deputies', 'Uninominal Deputies', 'Plurinominal Deputies', 'Special Indigenous\\nor Campesino Deputies', 'Senators'], ['La Paz', 29, 14, 14, 1, 4], ['Santa Cruz', 28, 14, 13, 1, 4], ['Cochabamba', 19, 9, 9, 1, 4], ['Potosí', 13, 7, 6, 0, 4], ['Chuquisaca', 10, 5, 5, 0, 4], ['Oruro', 9, 4, 4, 1, 4], ['Tarija', 9, 4, 4, 1, 4], ['Beni', 8, 4, 3, 1, 4], ['Pando', 5, 2, 2, 1, 4], ['Total', 130, 63, 60, 7, 36]]",what is the total amount of senators i all departments?,36
"[['Year', 'Film', 'Director', 'Cast', 'Details'], [2014, 'Manam', 'Vikram Kumar', 'Akkineni Nageswara Rao\\nAkkineni Nagarjuna\\nNaga Chaitanya', 'in-production.\\nfirst time starring three generations of great akkineni dynasty heroes acting together.'], [2013, 'Bhai', 'Veerabhadram', 'Akkineni Nagarjuna\\nRicha Gangopadhyay', nan], [2011, 'Rajanna', 'Vijayendra Prasad', 'Akkineni Nagarjuna\\nSneha', 'Won Nandi Award for Best Feature Film (Silver),\\nNandi Award for Best Child Actress (Baby Annie),\\nNandi Award for Best Character Actor (Gandhi),\\nNandi Award for Best Art Director (S Ravinder),\\nNandi Award for Best Female Playback Singer (Malavika),\\nNandi Special Jury Award (Nagarjuna)'], [2005, 'Super', 'Puri Jagannadh', 'Akkineni Nagarjuna\\nAyesha Takia\\nSonu Sood\\nAnushka Shetty', 'Won Filmfare Best Comedian in Telugu(Ali),\\nNominated for Filmfare Best Film in Telugu,\\nFilmfare Best Director (Puri Jagannadh),\\nFilmfare Best Actor (Akkineni Nagarjuna).\\nFilmfare Best Music Director (Sandeep Chowta),\\nFilmfare Best Actress (Sandhya)'], [2004, 'Mass', 'Raghava Lawrence', 'Akkineni Nagarjuna\\nJyothika\\nCharmy Kaur', 'Won CineMAA Award for Best Actor (Nagarjuna),\\nSantosham Best Actress Award (Jyothika)'], [2003, 'Satyam', 'Surya Kiran', ""Sumanth\\nGenelia D'Souza"", nan], [2002, 'Manmadhudu', 'K. Vijaya Bhaskar', 'Akkineni Nagarjuna\\nSonali Bendre', 'Won Nandi Award for Best Feature Film (Gold)'], [1999, 'Prema Katha', 'Ram Gopal Varma', 'Sumanth\\nAntara Mali', 'Won Nandi Award for Best Feature Film (Bronze),\\nNandi Award for Best Director (Ram Gopal Varma),\\nNandi Award for Best Supporting Actress (Radhika),\\nNandi Award for Best Male Dubbing Artist (P.Shankar)'], [1999, 'Seetharama Raju', 'Suresh Krishna', 'Nagarjuna Akkineni\\nNandamuri Harikrishna\\nSakshi Sivanand\\nSanghavi', 'Co-produced with D.Siva Prasad Reddy'], [1998, 'Aaha', 'Suresh Krishna', 'Jagapathi Babu\\nSanghavi', nan], [1998, 'Chandralekha (1998 film)', 'Krishna Vamsi', 'Nagarjuna Akkineni\\nRamya Krishna\\nIsha Koppikar', 'Co-produced with V.Ram Prasad'], [1996, 'Ninne Pelladutha', 'Krishna Vamsi', 'Nagarjuna Akkineni\\nTabu', 'Won National Film Award for Best Feature Film in Telugu'], [1995, 'Sisindri', 'Shiva Nageswara Rao', 'Akhil Akkineni\\nNagarjuna Akkineni', nan], [1993, 'Theerpu', nan, nan, nan], [1993, 'Rakshana', 'Uppala Pati Narayana Rao\\nR. R. Shinde', 'Nagarjuna Akkineni\\nShobhana', nan], [1990, 'Iddaru Iddare', 'A. Kodandarami Reddy', 'Akkineni Nageswara Rao\\nNagarjuna Akkineni\\nRamya Krishnan', nan], [1989, 'Shiva', 'Ram Gopal Verma', 'Akkineni Nagarjuna\\nAmala', 'Produced in association with S.S.Creations\\nWon Nandi Award for Best Director (Ram Gopal Varma)\\nReleased in Hindi in 1990'], [1987, 'Agni Putrudu', 'K. Raghavendra Rao', 'Nagarjuna Akkineni\\nAkkineni Nageswara Rao\\nSarada\\nSivaji Ganesan', 'First film starring two generations\\nof the Akkineni family'], [1986, 'Vikram', 'V. Madhusudhana Rao', 'Akkineni Nagarjuna\\nShobhana', 'Debut Film of Superstar Akkineni Nagarjuna'], [1983, 'Sri Ranga Neethulu', 'A. Kodandarami Reddy', 'Akkineni Nageswara Rao\\nSridevi', nan], [1982, 'Yuvaraju', 'Dasari Narayana Rao', 'Akkineni Nageswara Rao\\nSujatha\\nJayasudha', nan], [1981, 'Prema Kaanuka', 'K. Raghavendra Rao', 'Akkineni Nageswara Rao\\nSridevi\\nMohan Babu', nan], [1980, 'Premabhishekam', 'Dasari Narayana Rao', 'Akkineni Nageswara Rao\\nSridevi\\nJayasudha', 'The film has completed 100 days in 30 centres'], [1980, 'Pilla Zameendar', 'Singeetam Srinivasa Rao', 'Akkineni Nageswara Rao\\nJayasudha\\nMohan Babu', nan], [1980, 'Butchi Babu', 'Dasari Narayana Rao', 'Akkineni Nageswara Rao\\nJaya Prada', nan], [1979, 'Kalyani', 'Dasari Narayana Rao', 'Murali Mohan\\nKaikala Satyanarayana\\nJayasudha', nan], [1978, 'Manchi Manasulu', 'Adurthi Subba Rao', 'Akkineni Nageshwara Rao\\nSavitri\\nShowkar Janaki', nan], [1970, 'Maro Prapancham', 'Adurthi Subba Rao', 'Akkineni Nageswara Rao\\nSavitri', nan], [1968, 'Sudigundalu', 'Adurthi Subba Rao', 'Akkineni Nageswara Rao, Sandhya Rani', 'Won National Film Award for Best Feature Film in Telugu\\nNandi Award for Best Feature Film\\nFilmfare Best Film Award (Telugu)'], [1955, 'Donga Ramudu', 'Kadiri Venkata Reddy', 'Akkineni Nageswara Rao\\nJamuna\\nSavitri', nan]]",who directed the film rajanna?,Vijayendra Prasad
"[['Administrative\\narea', 'Area\\nkm2', 'Area\\nsq mi', 'Population', 'Administrative\\ncentre'], ['Saint Helena', 122.0, 47, '5,809', 'Jamestown'], ['Ascension Island', 91.0, 35, '1,532', 'Georgetown'], ['Tristan da Cunha', 184.0, 71, '388', 'Edinburgh of the Seven Seas'], ['Tristan da Cunha', 98.0, 38, '382', 'Edinburgh of the Seven Seas'], ['Inaccessible Island', 14.0, 5, '0', 'denstone hut'], ['Nightingale Island', 3.2, 1, '0', 'West Landing'], ['Gough Island', 68.0, 26, '6', 'Transvaal Bay'], ['Total', 397.0, 153, '7,729', 'Jamestown']]",is the are of saint helena more than that of nightingale island?,yes
"[['District', 'Incumbent', 'Party', 'First\\nelected', 'Result', 'Candidates'], ['Virginia 1', 'Thomas Newton, Jr.', 'Adams-Clay Republican', '1801', 'Re-elected', 'Thomas Newton, Jr.'], ['Virginia 2', 'Arthur Smith', 'Crawford Republican', '1821', 'Retired\\nJacksonian gain', 'James Trezvant (J) 75.7%\\nRichard Eppes (DR) 24.3%'], ['Virginia 3', 'William S. Archer', 'Crawford Republican', '1820 (special)', 'Re-elected', 'William S. Archer (J) 100%'], ['Virginia 4', 'Mark Alexander', 'Crawford Republican', '1819', 'Re-elected', 'Mark Alexander (J)'], ['Virginia 5', 'John Randolph', 'Crawford Republican', '1799\\n1819', 'Re-elected', 'John Randolph (J) 100%'], ['Virginia 6', 'George Tucker', 'Crawford Republican', '1819', 'Retired\\nJacksonian gain', 'Thomas Davenport (J) 53.9%\\nJames Lanier 22.6%\\nBarzillai Graves 16.3%\\nJohn D. Urquhart 7.2%'], ['Virginia 7', 'Jabez Leftwich', 'Crawford Republican', '1821', 'Lost re-election\\nJacksonian gain', 'Nathaniel H. Claiborne (J) 51.4%\\nJabez Leftwich (C-DR) 48.6%'], ['Virginia 8', 'Burwell Bassett', 'Crawford Republican', '1805\\n1821', 'Re-elected', 'Burwell Bassett (J) 95.3%\\nServant Jones (DR) 4.5%\\nReuben Washer 0.2%'], ['Virginia 9', 'Andrew Stevenson', 'Crawford Republican', '1821', 'Re-elected', 'Andrew Stevenson (J) 100%'], ['Virginia 10', 'William C. Rives', 'Crawford Republican', '1823', 'Re-elected', 'William C. Rives (J) 100%'], ['Virginia 11', 'Philip P. Barbour', 'Crawford Republican', '1814 (special)', 'Retired\\nAdams gain', 'Robert Taylor (A) 100%'], ['Virginia 12', 'Robert S. Garnett', 'Crawford Republican', '1817', 'Re-elected', 'Robert S. Garnett (J) 68.5%\\nJohn H. Upshaw 31.5%'], ['Virginia 13', 'John Taliaferro', 'Crawford Republican', '1824 (special)', 'Re-elected', 'John Taliaferro (A) 63.3%\\nJohn Hooe (F) 26.7%'], ['Virginia 14', 'Charles F. Mercer', 'Crawford Republican', '1817', 'Re-elected', 'Charles F. Mercer (A)'], ['Virginia 15', 'John S. Barbour', 'Crawford Republican', '1823', 'Re-elected', 'John S. Barbour (J) 53.7%\\nThomas Marshall (F) 46.3%'], ['Virginia 16', 'James Stephenson', 'Federalist', '1821', 'Retired\\nAdams gain', 'William Armstrong (A) 57.1%\\nEdward Colston (F) 42.9%'], ['Virginia 17', 'Jared Williams', 'Crawford Republican', '1819', 'Retired\\nAdams gain', 'Alfred H. Powell (A) 42.0%\\nWilliam Steenergen (DR) 21.5%\\nAugustine C. Smith (DR) 20.3%\\nSamuel Kercheval (DR) 13.6%\\nRobert Allen (DR) 2.6%'], ['Virginia 18', 'Joseph Johnson', 'Jackson Republican', '1823', 'Re-elected', 'Joseph Johnson (J) 62.0%\\nPhillip Doddridge (F) 38.0%'], ['Virginia 19', 'William McCoy', 'Crawford Republican', '1811', 'Re-elected', 'William McCoy (J) 70.2%\\nDaniel Sheffey (F) 29.8%'], ['Virginia 20', 'John Floyd', 'Crawford Republican', '1817', 'Re-elected', 'John Floyd (J) 84.7%\\nAllen Taylor (F) 15.3%'], ['Virginia 21', 'William Smith', 'Crawford Republican', '1821', 'Re-elected', 'William Smith (J) 55.2%\\nJames Lovell (DR) 44.8%'], ['Virginia 22', 'Alexander Smyth', 'Crawford Republican', '1817', 'Retired\\nAdams gain', 'Benjamin Estil (A) 58.9%\\nJoseph Crockett (DR) 32.0%\\nWilliam Graham (DR) 9.1%']]",how many districts are there in virginia?,22
"[['Name', 'Club', 'Position', 'Years', 'Current status', 'International caps'], ['Frank Farina', 'Sydney FC', 'FW', '1982–83', 'Coaching', 67], ['Warren Spink', nan, 'FW', '1983–84', 'Retired', 38], ['Robbie Hooker', nan, 'DF', '1984-85', 'Coaching', 22], ['Jason Polak', nan, 'MF', '1985-87', 'Retired', 28], ['Paul Trimboli', nan, 'FW', '1986', 'Media', 46], ['Jason van Blerk', nan, 'MF', '1986', 'Coaching', 33], ['Craig Foster', nan, 'MF', '1986-87', 'Media', 29], ['Steve Horvat', nan, 'DF', '1987-88', 'Retired', 32], ['Ned Zelić', nan, 'DF', '1988', 'Media', 34], ['Shaun Murphy', nan, 'DF', '1988', 'Retired', 27], ['George Sorras', nan, 'FW', '1989-90', 'Retired', 27], ['Alistair Edwards', 'Australia U-20', 'FW', '1988', 'Coaching', 22], ['Steve Corica', 'Sydney FC', 'MF', '1989–90', 'Coaching', 32], ['Kevin Muscat', 'Melbourne Victory', 'DF', '1990–91', 'Coaching', 51], ['Ante Milicic', 'Western Sydney Wanderers', 'FW', '1990–91', 'Coaching', 6], ['Goran Lozanovski*', nan, 'MF', '1990–91', 'Retired', 9], ['Craig Moore*', nan, 'DF', '1992–93', 'Retired', 52], ['Clint Bolton', 'Melbourne Heart', 'GK', '1992–93', 'Playing', 4], ['Hayden Foxe', nan, 'DF', '1993–94', 'Retired', 11], ['Josip Skoko*', nan, 'MF', '1992–93', 'Coaching', 51], ['John Aloisi*', 'Melbourne Heart', 'FW', '1992–93', 'Coaching', 55], ['Mark Viduka*', nan, 'FW', '1992–93', 'Retired', 43], ['Lucas Neill*', 'Sydney FC', 'DF', '1994–95', 'Playing', 89], ['Josip Šimunić*', 'Dinamo Zagreb', 'DF', '1995–96', 'Playing', 100], ['Brett Emerton*', 'Sydney FC', 'MF', '1996', 'Playing', 95], ['Vince Grella*', nan, 'MF', '1996', 'Retired', 46], ['Simon Colosimo', 'Melbourne Heart', 'DF', '1996–97', 'Playing', 26], ['Anthony Šerić*', 'Karabükspor', 'MF', '1996–97', 'Playing', 16], ['Mile Sterjovski*', 'Central Coast Mariners', 'MF', '1996–98', 'Playing', 43], ['Mark Bresciano*', 'Al-Gharafa', 'MF', '1997', 'Playing', 65], ['Ivan Ergić*', 'Free Agent', 'MF', '1997–98', 'Playing', 11], ['Ljubo Miličević', 'Free Agent', 'DF', '1997–98', 'Playing', 8], ['Luke Wilkshire*', 'FC Dynamo Moscow', 'MF', '1997–98', 'Playing', 74], ['Joshua Kennedy*', 'Nagoya Grampus', 'FW', '1998–99', 'Playing', 30], ['Jade North', 'Brisbane Roar', 'DF', '1999', 'Playing', 39], ['Nathan Coe', 'Melbourne Victory', 'GK', '2000-01', 'Playing', 3], ['Alex Brosque', 'Al Ain FC', 'FW', '2001', 'Playing', 7], ['Matt McKay', 'Changchun Yatai', 'MF', '2001', 'Playing', 33], ['Carl Valeri*', 'Sassuolo', 'MF', '2001–02', 'Playing', 50], ['Adam Federici*', 'Reading', 'GK', '2001–02', 'Playing', 8], ['Mark Milligan*', 'Melbourne Victory', 'DF', '2002', 'Playing', 19], ['David Williams', 'Melbourne Heart', 'FW', '2005', 'Playing', 2], ['Robbie Kruse', 'Fortuna Düsseldorf', 'FW', '2005–06', 'Playing', 21], ['Mitchell Langerak', 'Borussia Dortmund', 'GK', '2005–06', 'Playing', 0], ['Nikita Rukavytsya*', 'Mainz 05', 'FW', '2005–06', 'Playing', 11], ['Bruce Djite', 'Adelaide United', 'FW', '2006', 'Playing', 9], ['Dario Vidošić*', 'Adelaide United', 'MF', '2006', 'Playing', 14], ['Matthew Špiranović', 'Western Sydney Wanderers', 'DF', '2006', 'Playing', 16], ['Nathan Burns', 'Newcastle Jets', 'MF', '2006', 'Playing', 7], ['James Holland', 'Austria Wien', 'MF', '2006–07', 'Playing', 9], ['Apostolos Giannou', 'Platanias', 'FW', '2007', 'Playing', 0], ['Luke De Vere', 'Gyeongnam', 'DF', '2007-08', 'Playing', 0], ['Mustafa Amini', 'Borussia Dortmund', 'MF', '2009', 'Playing', 0], ['Terry Antonis', 'Sydney FC', 'MF', '2009', 'Playing', 0], ['Kerem Bulut', 'Akhisar Belediyespor', 'FW', '2009', 'Playing', 0]]",which alumni in the 1990's has the least number of international caps?,Clint Bolton
